ID;TYPE;FRACTURE;FINECRAZING;DEEPCRACKING;COLORCHANGES;CARBONDEPOSITION;CONCRETIONS;WEIGHT
A1-544;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;82
A1-534;PEBBLE;;FALSE;FALSE;NA;FALSE;TRUE;19
A1-528;FCR;JAGGED;FALSE;FALSE;NA;FALSE;TRUE;19
A1-538;PEBBLE;;FALSE;FALSE;NA;FALSE;TRUE;19
A1-469;FCR;JAGGED;FALSE;FALSE;NA;FALSE;FALSE;11
A1-484;PEBBLE;;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;144
A1-468;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;14
A1-449;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;23
A1-517;PEBBLE;;FALSE;FALSE;NA;FALSE;TRUE;35
A1-452;PEBBLE;;FALSE;FALSE;NA;FALSE;TRUE;14
A1-476;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;11
A1-466;PEBBLE;;FALSE;FALSE;NA;FALSE;TRUE;20
A1-488;PEBBLE;;FALSE;FALSE;NA;FALSE;FALSE;19
A1-512;PEBBLE;;NA;FALSE;NA;FALSE;TRUE;67
A1-515;PEBBLE;;NA;FALSE;NA;FALSE;TRUE;28
A1-458;PEBBLE;;NA;FALSE;NA;FALSE;TRUE;127
A1-470;FCR;SMOOTH;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;21
A1-477;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;43
A1-502;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;72
A1-450;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;30
A1-457;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;60
A1-491;PEBBLE;;FALSE;FALSE;NA;FALSE;FALSE;31
A1-490;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;TRUE;31
A1-478;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;103
A1-480;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;19
